id,code,name,rating
460,3709, Bhagyanthan C G,32
461,3717,Prakash Kunjan,63.58
462,3734,Moidu Thazhathu,36.08
463,3770,Vipin Das,72.9
464,3773,Perarsu,33.95
465,3781, Fazil Basheer,51.66
466,3796,Sajan Johny,27.88
467,3800,Sreejith Vijayan,71.79
468,3803,Raju Champakkara,49.89
469,3827,VV Santhosh,27.88
470,3829,KR Manoj,53.3
471,3832,G Manu,45
472,3833,Anoop Kannan,69.56
473,3836,Kanakaraghavan ,37.6
474,3838,Pramod G Gopal,66.22
475,3843,Janardhanan ,47.56
476,3857,Vasanthabalan ,64
477,3859,Dileep Thomas ,55.76
478,3896,Linson Antony,63.18
479,3919,Anil Radhakrishnan Menon,65.27
480,3922,Raju Micheal,20
481,3926,Shankar Narayan,24.6
482,3953,Fazal ,48
483,3959,Basil Joseph ,79.78
484,3994,Sreebala K Menon,65.6
485,4003,Sudevan,56.58
486,4017,Adv. Sangeeth Louis,27.88
487,4022,Mathews Abraham,23.4
488,4027,Vipin Atley,71.34
489,4030,HN Shijoy,16.4
490,4047,Chandru Manickavasagam ,16.4
491,4048,Raaj Prabhavathy Menon,59.28
492,4051,NK Muhammed Koya,57.4
493,4058,Anu Ram,32.19
494,4064,Revathy S Varma,53.04
495,4066,Balaji Mohan,75.2
496,4074,Santhosh Viswanath,71.34
497,4076,Manoj Aravidakshan ,36.9
498,4079,Sajith Sivan,24.6
499,4082,RS Vimal,77.9
500,4088,A R C Nair,16.4
501,4090,Jexson Antony,75.44
502,4105,Lohith Madhav,33.21
503,4111,Bash Mohammed,74.62
504,4122,Binu S,61.55
505,4126,Sree Varun,67.24
506,4133,Shiju Cherupannur,52
507,4134,Karumadi Rajendran,54
508,4137,Mahesh Keshav,50.09
509,4145,Kiran Narayanan,42.41
510,4150,Abin Jacob,65.6
511,4161,Shibu Balan,71.38
512,4163,Ajith C Lokesh,78.3
513,4167,Santhosh Nair,58.35
514,4181,Baby Thomas,53.6
515,4189,Jinu G Daniel,55.76
516,4206,Alagappan,64.74
517,4211,Anil Gopinath,38.4
518,4281,Vijeesh Vasudev,34.4
519,4305,Sidharth Shiva,66.74
520,4313,Jibu Jacob,66.39
521,4339,Krish Kaimal,64.17
522,4366,Mahesh Narayanan,84.07
523,4390,Senthil Rajan,61.92
524,4445,Rajeev Ravi,71.15
525,4509,Shamdath,56.76
526,4528,Sujith Nair,32.8
527,4529,Sujith Vaassudev,70.75
528,4534,Suresh,29.6
529,4551,Utpal V Nayanar,51.6
530,4759,Ajay Devaloka,46.98
531,4808,Atlas Ramachandran,22.5
532,4948,Bala,65.57
533,4986,Bharathan Njarakkal,52.46
534,5049,Harilal Gandhi,24
535,5217,GS Pradeep,43
536,5218,Manoj Nair,83.42
537,5235,Geethu Mohandas,76.54
538,5296,Harishree Ashokan,67.94
539,5310,Suresh Divakar,70.23
540,5330,Ajmal,23.17
541,5358,Dhanoj Naik,36.45
542,5446,Joy Mathew,69.42
543,5474,KB Venu,63.96
544,5484,KK Rajeev,61.21
545,5516,Manoj Chandrasekharan,60.06
546,5534,Kalabhavan Shajohn,38.7
547,5660,Kollam Ajith,43.11
548,5699,Sujith Sajith,9.13
549,5824,Manoj Alunkal,49.2
550,5864,Ajoy Varma,55.68
551,5879,Dhanwanthari,66.5
552,6001,Padmendra Prasad,52.48
553,6027, Vineeth Anil (Master Vineeth),37.84
554,6120,Murali (Kannada),45
555,6142,Rishi Sivakumar,57.51
556,6262,P Balachandran,59.76
557,6395,Prabhu Deva,88.35
558,6453,Benny Thomas,71.2
559,6483,Omar Lulu,62.02
560,6499,KS Ravikumar,60
561,6566,Ramesh Pisharadi,74.82
562,6681,SJ Soorya,88.36
563,6685,Gopakumar Narayana Pillai,32.8
564,6735,Salim Kumar,56.18
565,6748,Samuthirakani,80.84
566,6801,Sarath Haridasan,66.4
567,6844,Dr. Santhosh Souparnika,58.45
568,6886,Subhash Thiruvilwamala,36.8
569,6939,Vinod Guruvayoor,60.77
570,6965,Siddique,69.82
571,6967,Sidharth Bharathan,70.88
572,7071,Preethi Panikkar,32.8
573,7101,Kuttichal Sasikumar,48
574,7147,Sudheesh Sankar,48.8
575,7169,Suresh Nair,51.2
576,7193,Swetha Prasad,48
577,7297,Guiness Pakru (Ajayakumar),26.52
578,7338,Thaufeek TA,34.44
579,7410,Anwar Sadhique,76.79
580,7454,Vineeth Kumar,66.42
581,7466,Vishnu Prasad,62.4
582,7510,Jenuse Mohamed,76.81
583,7512,Khais Millen ,41.31
584,7522,Anil Raj,59.34
585,7538,BR Vijayalakshmi,69.6
586,7553,Biju Vattapara,33
587,7554,Bilahari,68.8
588,7558,C Sasidharan Pillai,81.7
589,7564,Mohan,96
590,7589,Dileesh Nair,61.6
591,7626,G Marthandan,53.48
592,7645,James Albert,49.2
593,7685,Kapil Chazhoor,39
594,7719,Kiran Prabhakar,69.66
595,7733,M Hajamoinu,49.2
596,7742,Kannan Thamarakulam,59.68
597,7799,Yousuf Mohammed,24.6
598,7810,Moni Sreenivasan,36.68
599,7817,Aneesh Upasana,61.51
600,7819,Najeem Koya,59.34
601,7884,Sakkir Madathil,28.86
602,7897,Reji Nair,55.61
603,7951,Santhosh Khan,26.4
