id,code,name,rating
263,3310,KK Nair,46.39
264,3311,Abhiman SA,45.36
265,3312,KK Narayana Das,48.23
266,3328,KS Chandran,43.16
267,3336,Arun Omana Sadanandan,51.84
268,3349,Nithin Renji Panicker,59.13
269,3351,PN Gopikrishnan,24.18
270,3352,Kalliyoor Sasi,76
271,3354,Arouz Irfan,37.26
272,3356,Sreejith Sukumaran,28
273,3360,Royson Vellara,36.06
274,3361,Ashiq Usman,69.38
275,3364,Khader Hassan,66.51
276,3372,N Krishnakumar (Kireedam Unni),80.66
277,3380,Sinto Sunny,56.7
278,3383,Krishnan Nair,38.7
279,3392,Arjun Prabhakaran ,66.42
280,3402,Liberty Basheer,70
281,3404,Lissy Lakshmi,87.4
282,3405,Listin Stephen,73.86
283,3413,Sanoob Anil,30.78
284,3419,M Ranjith,73.81
285,3428,MC Arun,40.83
286,3439,MM Hamsa,85.02
287,3443,MN Murali,29.14
288,3450,Ajeesh Thomas,44.55
289,3456,MR Nair Bombay,63.2
290,3461,MS Nazeer,65.8
291,3462,MS Raju,60.06
292,3474,Maheshraj,45.12
293,3475,Mahi,75.77
294,3478,Sukesh Roy,17.2
295,3489,Maniyanpilla Raju,66.27
296,3497,Mathew Kuttampuzha,48
297,3504,Menaka Sureshkumar,82.58
298,3508,Milan Jaleel,63.94
299,3510,Minraj,55.93
300,3534,Mummy Century,66.4
301,3537,Viju John Edayathara,31.59
302,3538,Premkumar CV,41.31
303,3540,Rajashree Balaram,68.88
304,3545,"Visakh, Vivek, Vinod",68.04
305,3549,Pradeep Raj,16.4
306,3552,NB Vindhyan,78.35
307,3558,Arun PR,56.17
308,3569,Naseem Vellila,70.31
309,3577,Ajith Pillai,73.6
310,3586,Noushad Kammu Vadakkan,40.89
311,3604,Khalid Rahman,78.26
312,3607,P Nandakumar,55.41
313,3609,P Rajan,81.07
314,3610,P Ramachandran,16.5
315,3615,P Sajithkumar,78.02
316,3627,PG Mohan,41.36
317,3639,PK Muralidharan,77.12
318,3640,Sanalkumar Sasidharan,59.04
319,3643,PKR Pillai,85.5
320,3649,PN Venugopal,66.08
321,3661,PV Gangadharan,88.16
322,3662,Abi Varghese,63.18
323,3664,PV Pradeep,64.5
324,3676,Koratala Siva,69.66
325,3682,Shaheen Siddique,21.5
326,3687,Suresh Achoos,53.94
327,3691,Pilakkandi Mohammadali,54.43
328,3707,Prakash Bare,55.82
329,3726,Anil Narayanan,55.46
330,3740,R Mukesh Mehta,74.84
331,3744,RB  Choudary,64.42
332,3765,Vinod and Vinod,41.31
333,3769,Rajan Thalipparambu,62.12
334,3771,U Prasannakumar,62.32
335,3778,Raju Malliath,74.56
336,3779,Raju Mathew,71.76
337,3781, Fazil Basheer,51.66
338,3786,Ramesh Nambiar,62.4
339,3803,Raju Champakkara,52.8
340,3814,S Chandra Kumar,78.03
341,3815,S Gopakumar,68.15
342,3818,S Mohan,25.12
343,3821,Rameshan Vadakara,36.08
344,3823,S S Prasents,90
345,3826,PV Shaji Kumar,53.3
346,3830,S Sundararajan,58.75
347,3833,Anoop Kannan,68.8
348,3835,SC Pillai,52.83
349,3846,Sabu Cherian,72.96
350,3851,Safeer Sett,58.09
351,3854,Sagar Shareef,57.19
352,3857,Vasanthabalan ,64
353,3862,Saji Nanthiyattu,35.27
354,3864,Sajith Kumar,52.94
355,3874,Salim Sathar,83.35
356,3881,Sanal Thottam,27.2
357,3891,Santhosh Damodaran,64
358,3894,Santhosh Pavithram,61.45
359,3895,Santhoshkumar,18.8
360,3897,Sarada,86.4
361,3900,Sargam Kabeer,83.19
362,3906,Sasi Ayyanchira,55.89
363,3907,Sasidharan Pillai,45.58
364,3919,Anil Radhakrishnan Menon,72.29
365,3922,Raju Micheal,20
366,3923,Shahul Hameed Marikkar,70.62
367,3929,Shan Kadavathoor,81.25
368,3943,Junior NTR,76.54
369,3946,Siraj,86.4
370,3947,Siraj Valiyaveettil,81.9
371,3953,Fazal ,31.82
372,3955,Siyad Kocker,72.55
373,3961,Soman Pallatt,48.62
374,3968,Deepu Pradeep ,78.72
375,4004,Sudhish,79.7
376,4017,Adv. Sangeeth Louis,27.88
377,4026,Suresh Balaji,37.84
378,4027,Vipin Atley,75.2
379,4028,G Suresh Kumar,61.12
380,4048,Raaj Prabhavathy Menon,59.28
381,4050,Saif Ali,23.78
382,4051,NK Muhammed Koya,57.4
383,4058,Anu Ram,32.19
384,4067,Thankachan Imanuel,68.62
385,4086,Tomichan Mulakuppadam,61.96
386,4088,A R C Nair,16.4
387,4091,Udaya,69.66
