c_id,title,year,release,rating
3644,Symphony (2004),2004,13-02-2004,62
3645,Kaazhcha (2004),2004,,96
3646,Vettam (2004),2004,20-08-2004,97
3647,Ennittum (2006),2006,02-10-2006,37
3648,4 The People (2004),2004,,93
3649,Kadhaavaseshan (2004),2004,11-11-2004,96
3650,Sasneham Sumitra (2004),2004,,55
3651,Akale (2004),2004,,90
3654,Vajram (2004),2004,04-10-2004,76
3657,Rasikan (2004),2004,16-12-2004,92
3658,Runway (2004),2004,25-04-2004,96
3660,Manjupoloru Penkutti (2004),2004,,84
3661,Naattu Raajavu (2004),2004,,80
3662,Monalisa (2004),2004,,88
3663,Jalolsavam (2004),2004,,90
3664,Aparichithan (2004),2004,,90
3665,Quotation (2004),2004,,52
3666,Kanninum Kannaadikkum (2004),2004,,91
3667,Vellinakshathram (2004),2004,31-03-2004,90
3670,Sanchaaram (2004),2004,,90
3672,Sathyam (2004),2004,20-08-2004,94
3673,CI Mahadevan 5 adi 4 inch (2004),2004,21-02-2004,43
3677,Chekavan (2004),2004,,83
3679,Agninakshathram (2004),2004,,83
3680,Koottu (2004),2004,,33
3681,Vaamanapuram Bus Route (2004),2004,23-01-2004,46
3682,Thekkekkara Super Fast (Kili) (2004),2004,04-03-2004,50
3685,Kottaaram Vaidyan (2004),2004,,34
3686,Masnagudi Mannadiyaar Speaking (2004),2004,,38
3697,Sethuramayyar CBI (2004),2004,23-01-2004,93
3702,Makalkku (2005),2005,,96
3703,Iruvattam Manavaatti (2005),2005,,68
3704,Chaanthu Pottu (2005),2005,26-08-2005,93
3705,Achuvinte Amma (2005),2005,28-01-2005,95
3706,Lokanaathan IAS (2005),2005,16-09-2005,87
3707,Mayookham (2005),2005,11-03-2005,89
3708,Ben Johnson (2005),2005,,94
3709,Kochiraajaavu (2005),2005,,94
3710,Ottanaanayam (2005),2005,,49
3711,5 Fingers (2005),2005,,40
3712,Chandrolsavam (2005),2005,14-04-2005,97
3714,Naran (2005),2005,,95
3715,Ponmudippuzhayorathu (2005),2005,,57
3717,Ananthabhadram (2005),2005,,96
3718,Pauran (2005),2005,,47
3721,Annorikkal (2005),2005,,74
3723,Brahmam (2005),2005,,85
3724,Daivanaamathil (2005),2005,,64
3725,Immini Nalloral (2005),2005,,84
3726,Raajamaanikyam (2005),2005,,94
3728,Junior Senior (2005),2005,03-11-2005,28
3731,Paranju Theeratha Visheshangal (2007),2007,27-04-2007,63
3732,The Campus (2005),2005,,96
3733,Nottam (2006),2006,06-02-2006,92
3734,Thanmaathra (2005),2005,,96
3735,Udayanaanu Thaaram (2005),2005,21-01-2005,97
3736,Paandippada (2005),2005,,93
3738,The Tiger (2005),2005,,94
3741,Sarkar Dada (2005),2005,,76
3742,Alice In Wonderland (2005),2005,,75
3743,Udayon (2005),2005,,86
3744,Thommanum Makkalum (2005),2005,,91
3746,Ullam (2005),2005,,65
3747,Athbhuthadweepu (2005),2005,04-01-2005,90
3749,Police (2005),2005,,83
3750,Banglaavil Outha (2005),2005,20-05-2005,37
3751,Sheelabathi (2005),2005,,60
3752,Hridayathil Sookshikkaan (2005),2005,,75
3753,Raappakal (2005),2005,24-06-2005,96
